Exclure;code OACI;Nom;Lattitude;Longitude;Statut;VFR nuit;Essence
;LFMW;CASTELNAUDARY VILLENEUVE;43:18.733N;001:55.266E;aéro ouvert CAP;non;oui
;LFCX;CASTELSARRASIN MOISSAC;44:05.215N;001:07.699E;aéro ouvert CAP;non;automat
;LFCK;CASTRES MAZAMET;43:33.299N;002:17.433E;aéro ouvert CAP;oui;oui
;LFJH;CAZERES PALAMINY;43:12.133N;001:03.066E;aéro restreint;non;non
;LFIH;CHALAIS;45:16.084N;000:01.016E;aéro ouvert CAP;non;non
;LFLH;CHALON CHAMPFORGEUIL;46:49.701N;004:49.016E;aéro ouvert CAP;pcl;automat
;LFQK;CHALONS ECURY SUR COOLE;48:54.367N;004:21.249E;aéro ouvert CAP;non;oui
;LFOK;CHALONS VATRY;48:46.399N;004:12.366E;aéro ouvert CAP;oui;oui
;LFLB;CHAMBERY AIX LES BAINS;45:38.350N;005:52.798E;aéro ouvert CAP;oui;automat bp
;LFLE;CHAMBERY CHALLES LES EAUX;45:33.682N;005:58.615E;aéro ouvert CAP;non;oui
;LFJY;CHAMBLEY;49:01.32N;005:52.34E;aéro ouvert CAP;pcl;automat total 
;LFGX;CHAMPAGNOLE CROTENAY;46:45.868N;005:49.251E;aéro restreint;non;non
;LFQV;CHARLEVILLE MEZIERES;49:47.150N;004:38.650E;aéro ouvert CAP;non;oui
;LFOR;CHARTRES METROPOLE;48:27.532N;001:31.433E;aéro ouvert CAP;pcl;oui
;LFMX;CHATEAU ARNOUX SAINT AUBAN;44:03.599N;005:59.481E;aéro ouvert CAP;non;automat bp
;LFFH;CHATEAU THIERRY BELLEAU;49:04.034N;003:21.416E;aéro ouvert CAP;non;non
;LFTQ;CHATEAUBRIANT POUANCE;47:44.433N;001:11.283W;aéro ouvert CAP;non;non
;LFOC;CHATEAUDUN;48:03.465N;001:22.766E;aéro ouvert CAP;non;non
;LFFU;CHATEAUNEUF SUR CHER;46:52.265N;002:22.616E;aéro ouvert CAP;non;oui
;LFLX;CHATEAUROUX DEOLS;46:51.616N;001:43.266E;aéro ouvert CAP;oui;oui
;LFEJ;CHATEAUROUX VILLERS;46:50.516N;001:37.266E;aéro ouvert CAP;non;oui
;LFCA;CHATELLERAULT TARGE;46:46.882N;000:33.116E;aéro ouvert CAP;limite;oui
;LFQH;CHATILLON SUR SEINE;47:50.783N;004:34.833E;aéro ouvert CAP;non;oui
;LFJA;CHAUMONT SEMOUTIERS;48:05.500N;005:02.999E;aéro réservé administration;non;non
;LFDW;CHAUVIGNY;46:35.015N;000:38.549E;aéro ouvert CAP;oui;oui
;LFPX;CHAVENAY VILLEPREUX;48:50.617N;001:58.933E;aéro ouvert CAP;non;automat bp
;LFPH;CHELLES LE PIN;48:53.865N;002:36.450E;aéro ouvert CAP;non;oui
;LFRC;CHERBOURG MAUPERTUS;49:39.051N;001:28.516W;aéro ouvert CAP;pcl;automat
;LFOU;CHOLET LE PONTREAU;47:04.916N;000:52.633W;aéro ouvert CAP;pcl;oui
;LFJC;CLAMECY;47:26.299N;003:30.516E;aéro ouvert CAP;non;non
;LFLC;CLERMONT FERRAND AUVERGNE;45:47.151N;003:09.749E;aéro ouvert CAP;oui;oui
;LFBG;COGNAC CHATEAUBERNARD;45:39.499N;000:19.049W;aéro réservé administration;oui;oui
;LFGA;COLMAR HOUSSEN;48:06.617N;007:21.551E;aéro ouvert CAP;pcl;oui
;LFAD;COMPIEGNE MARGNY;49:26.067N;002:48.366E;aéro ouvert CAP;limite;oui
;LFID;CONDOM VALENCE SUR BAISE;43:54.616N;000:23.233E;aéro ouvert CAP;non;oui
;LFKT;CORTE;42:17.449N;009:11.634E;aéro ouvert CAP;non;non
;LFGH;COSNE SUR LOIRE;47:21.634N;002:55.166E;aéro ouvert CAP;non;oui
;LFDV;COUHE VERAC;46:16.365N;000:11.433E;aéro ouvert CAP;limite;oui
;LFPK;COULOMMIERS VOISINS;48:50.266N;003:00.916E;aéro ouvert CAP;non;oui
;LFTF;CUERS PIERREFEU;43:14.849N;006:07.632E;aéro ouvert CAP;non;oui
;LFBY;DAX SEYRESSE;43:41.350N;001:04.133W;aéro restreint;oui;oui
;LFRG;DEAUVILLE NORMANDIE;49:21.801N;000:09.600E;aéro ouvert CAP;oui;oui
;LFAB;DIEPPE SAINT AUBIN;49:52.950N;001:05.116E;aéro ouvert CAP;limite;oui
;LFGI;DIJON DAROIS;47:23.215N;004:56.883E;aéro ouvert CAP;non;oui
;LFSD;DIJON-LONGVIC;47:15.948N;005:05.699E;aéro ouvert CAP;pcl;oui
;LFEB;DINAN TRELIVAN;48:26.666N;002:06.083W;aéro ouvert CAP;non;oui
;LFRD;DINARD PLEURTUIT SAINT MALO;48:35.267N;002:04.799W;aéro ouvert CAP;pcl;oui
;LFGJ;DOLE TAVAUX;47:02.565N;005:26.099E;aéro ouvert CAP;oui;oui
;LFGR;DONCOURT LES CONFLANS;49:09.167N;005:55.968E;aéro ouvert CAP;non;oui
;LFON;DREUX VERNOUILLET;48:42.401N;001:21.766E;aéro ouvert CAP;non;non
;LFAK;DUNKERQUE LES MOERES;51:02.434N;002:33.016E;aéro restreint;limite;oui
;LFDE;EGLETONS;45:25.284N;002:04.133E;aéro ouvert CAP;non;oui
;LFFE;ENGHIEN MOISSELLES;49:02.783N;002:21.183E;aéro restreint;non;oui
;LFSW;EPERNAY PLIVOT;49:00.315N;004:05.216E;aéro ouvert CAP;limite;automat total 
;LFSE;EPINAL DOGNEVILLE;48:12.716N;006:26.949E;aéro ouvert CAP;non;non
;LFSG;EPINAL MIRECOURT;48:19.498N;006:03.998E;aéro ouvert CAP;oui;automat
;LFOX;ETAMPES MONDESIR;48:22.915N;002:04.516E;aéro ouvert CAP;non;oui
;LFFY;ETREPAGNY;49:18.366N;001:38.316E;aéro restreint;non;oui
;LFAE;EU MERS LE TREPORT;50:04.150N;001:25.599E;aéro restreint;non;non
;LFAS;FALAISE MONTS D'ERAINES;48:55.632N;000:08.683W;aéro restreint;non;oui
;LFMF;FAYENCE;43:36.365N;006:42.168E;aéro ouvert CAP;non;non
;LFLZ;FEURS CHAMBEON;45:42.214N;004:12.066E;aéro ouvert CAP;non;non
;LFKF;FIGARI SUD CORSE;41:30.131N;009:05.800E;aéro ouvert CAP;oui;oui
;LFCF;FIGEAC LIVERNON;44:40.400N;001:47.349E;aéro ouvert CAP;non;oui
;LFOG;FLERS SAINT PAUL;48:45.151N;000:35.366W;aéro ouvert CAP;non;oui
;LFNO;FLORAC SAINTE ENIMIE;44:17.182N;003:27.999E;aéro restreint;non;non
;LFFK;FONTENAY LE COMTE;46:26.482N;000:47.566W;aéro ouvert CAP;non;oui
;LFPQ;FONTENAY TRESIGNY;48:42.431N;002:54.266E;aéro ouvert CAP;limite;automat total 
;LFDX;FUMEL MONTAYRAL;44:27.815N;001:00.466E;aéro ouvert CAP;limite;oui
;LFDG;GAILLAC LISLE SUR TARN;43:53.032N;001:52.533E;aéro ouvert CAP;limite;non
;LFNA;GAP TALLARD;44:27.299N;006:02.266E;aéro ouvert CAP;non;oui
;LFKG;GHISONACCIA ALZITONE;42:03.299N;009:24.117E;aéro restreint;non;non
;LFRF;GRANVILLE-MONT SAINT MICHEL;48:52.965N;001:33.833W;aéro ouvert CAP;pcl;automat total 
;LFCQ;GRAULHET MONTDRAGON;43:46.201N;002:00.533E;aéro ouvert CAP;non;automat total 
;LFEV;GRAY SAINT ADRIEN;47:26.000N;005:37.366E;aéro ouvert CAP;pcl;automat total 
;LFLS;GRENOBLE ISERE;45:21.784N;005:19.966E;aéro ouvert CAP;pcl;oui
;LFLG;GRENOBLE LE VERSOUD;45:13.148N;005:50.983E;aéro ouvert CAP;non;automat bp
;LFCE;GUERET SAINT LAURENT;46:10.531N;001:57.183E;aéro ouvert CAP;non;oui
;LFES;GUISCRIFF SCAER;48:03.282N;003:39.766W;aéro ouvert CAP;limite;automat total 
