LFFC | MANTES CHERENCE | 1.68972 | 49.0789 | aéro restreint | non | non
LFDM | MARMANDE VIRAZEIL | 0.1975 | 44.5011 | aéro ouvert CAP | pcl | automat total 
LFML | MARSEILLE PROVENCE | 5.21498 | 43.4367 | aéro ouvert CAP | oui | oui
LFQJ | MAUBEUGE ELESMES | 4.03138 | 50.3092 | aéro ouvert CAP | non | automat
LFJB | MAULEON | -0.696383 | 46.9039 | aéro ouvert CAP | oui | non
LFPE | MEAUX ESBLY | 2.83527 | 48.9278 | aéro ouvert CAP | non | oui
LFHM | MEGEVE | 6.6522 | 45.8208 | Altiport | non | oui
LFPM | MELUN VILLAROCHE | 2.67082 | 48.6053 | aéro ouvert CAP | pcl | automat total 
LFNB | MENDE BRENOUX | 3.5275 | 44.5042 | aéro ouvert CAP | non | automat total 
LFKX | MERIBEL ROBERT MERLOZ | 6.58053 | 45.407 | Altiport | non | non
LFQT | MERVILLE CALONNE | 2.64 | 50.6167 | aéro ouvert CAP | pcl | oui
LFJL | METZ NANCY LORRAINE | 6.24667 | 48.9783 | aéro ouvert CAP | oui | oui
LFCM | MILLAU LARZAC | 3.18332 | 43.9892 | aéro ouvert CAP | non | automat total 
LFCZ | MIMIZAN | -1.16333 | 44.147 | aéro ouvert CAP | oui | oui
LFNC | MONT DAUPHIN SAINT CREPIN | 6.6003 | 44.7017 | aéro ouvert CAP | non | oui
LFMG | MONTAGNE NOIRE | 1.99027 | 43.4075 | aéro restreint | non | non
LFFW | MONTAIGU SAINT GEORGES | -1.32555 | 46.933 | aéro ouvert CAP | non | non
LFEM | MONTARGIS VIMORY | 2.68582 | 47.9606 | aéro ouvert CAP | non | automat total 
LFDB | MONTAUBAN | 1.37833 | 44.0275 | aéro ouvert CAP | non | non
LFSM | MONTBELIARD COURCELLES | 6.79138 | 47.4867 | aéro ouvert CAP | pcl | automat
LFGM | MONTCEAU LES MINES POUILLOUX | 4.33388 | 46.6041 | aéro ouvert CAP | limite | automat total 
LFAR | MONTDIDIER | 2.56915 | 49.673 | aéro restreint | non | non
LFLQ | MONTELIMAR ANCONE | 4.74055 | 44.5836 | aéro ouvert CAP | non | oui
LFDC | MONTENDRE MARCILLAC | -0.452217 | 45.2744 | aéro ouvert CAP | non | non
LFLT | MONTLUCON DOMERAT | 2.57222 | 46.3536 | aéro restreint | non | non
LFBK | MONTLUCON GUERET | 2.36277 | 46.2261 | aéro ouvert CAP | pcl | automat total 
LFNG | MONTPELLIER CANDILLARGUES | 4.07027 | 43.6103 | aéro ouvert CAP | non | oui
LFMT | MONTPELLIER MEDITERRANEE | 3.96138 | 43.5834 | aéro ouvert CAP | oui | automat total 
LFHI | MORESTEL | 5.4536 | 45.6878 | aéro ouvert CAP | non | oui
LFPU | MORET EPISY | 2.79943 | 48.3419 | aéro ouvert CAP | non | oui
LFRU | MORLAIX PLOUJEAN | -3.81667 | 48.6009 | aéro ouvert CAP | oui | automat total 
LFAX | MORTAGNE AU PERCHE | 0.533883 | 48.5403 | aéro ouvert CAP | non | non
LFHY | MOULINS MONTBEUGNY | 3.42167 | 46.5344 | aéro ouvert CAP | pcl | automat total 
LFGB | MULHOUSE HABSHEIM | 7.43223 | 47.738 | aéro ouvert CAP | non | oui
LFBR | MURET LHERM | 1.2636 | 43.4492 | aéro ouvert CAP | pcl | oui
LFEX | NANCY AZELOT | 6.2411 | 48.5928 | aéro restreint | non | non
LFSN | NANCY ESSEY | 6.2261 | 48.6922 | aéro ouvert CAP | oui | automat total 
LFEZ | NANCY MALZEVILLE | 6.20777 | 48.7244 | aéro restreint | non | non
LFAI | NANGIS LES LOGES | 3.01415 | 48.5958 | aéro ouvert CAP | limite | oui
LFRS | NANTES ATLANTIQUE | -1.60777 | 47.1569 | aéro ouvert CAP | oui | oui
LFNN | NARBONNE | 3.05165 | 43.1941 | aéro ouvert CAP | non | non
LFFT | NEUFCHATEAU | 5.72027 | 48.3616 | aéro ouvert CAP | non | non
LFQG | NEVERS FOURCHAMBAULT | 3.11083 | 47.0036 | aéro ouvert CAP | pcl | automat bp
LFMN | NICE COTE D'AZUR | 7.21502 | 43.6653 | aéro ouvert CAP | oui | non
LFME | NIMES COURBESSAC | 4.4136 | 43.8539 | aéro ouvert CAP | non | oui
LFTW | NIMES GARONS | 4.41638 | 43.7575 | aéro ouvert CAP | pcl | oui
LFBN | NIORT MARAIS POITEVIN | -0.394433 | 46.3133 | aéro ouvert CAP | oui | automat total 
LFCN | NOGARO | -0.0327667 | 43.7697 | aéro ouvert CAP | non | oui
LFGZ | NUITS SAINT GEORGES | 4.96915 | 47.1431 | aéro restreint | non | oui
LFCO | OLORON HERRERE | -0.560267 | 43.1647 | aéro ouvert CAP | non | oui
LFOJ | ORLEANS BRICY | 1.76055 | 47.9878 | aéro réservé administration | oui | non
LFOZ | ORLEANS SAINT DENIS DE L'HOTEL | 2.16415 | 47.8975 | aéro ouvert CAP | pcl | automat bp
LFEC | OUESSANT | -5.06222 | 48.4641 | aéro ouvert CAP | limite | non
LFLK | OYONNAX ARBENT | 5.66748 | 46.2792 | aéro ouvert CAP | non | oui
LFDJ | PAMIERS LES PUJOLS | 1.69583 | 43.0906 | aéro ouvert CAP | oui | automat
LFGN | PARAY LE MONIAL | 4.135 | 46.4678 | aéro ouvert CAP | non | non
LFBP | PAU PYRENEES | -0.4186 | 43.38 | aéro ouvert CAP | oui | automat bp
LFBX | PERIGUEUX BASSILLAC | 0.814167 | 45.1975 | aéro ouvert CAP | oui | automat total 
LFAG | PERONNE SAINT QUENTIN | 3.02972 | 49.8689 | aéro ouvert CAP | non | non
LFHC | PEROUGES MEXIMIEUX | 5.18722 | 45.8697 | aéro ouvert CAP | non | non
LFMP | PERPIGNAN RIVESALTES | 2.86972 | 42.7408 | aéro ouvert CAP | pcl | automat
LFPA | PERSAN BEAUMONT | 2.31305 | 49.1658 | aéro ouvert CAP | limite | oui
LFHD | PIERRELATTE | 4.71805 | 44.3989 | aéro ouvert CAP | non | oui
LFFP | PITHIVIERS | 2.19248 | 48.1572 | aéro restreint | non | oui
LFRP | PLOERMEL LOYAT | -2.37722 | 48.0028 | aéro ouvert CAP | non | non
LFBI | POITIERS BIARD | 0.30665 | 46.5875 | aéro ouvert CAP | oui | automat 
